,Age in 5-year groups,Type of place of residence,Number of household members,Has electricity,under-5 mortality,Type of toilet facility,Has radio,Time to get to water source (minutes),Source of drinking water
35,30-34,urban,,yes,0.14121037463976946,,,,
36,30-34,urban,,yes,0.12758620689655173,,yes,,
37,30-34,urban,,,0.17979197622585438,,,,
38,30-34,urban,,no,0.18114143920595532,pit latrine with slab,,,
39,30-34,urban,,,0.17307692307692307,pit latrine with slab,,,
40,30-34,urban,,,0.1722689075630252,pit latrine with slab,yes,,
41,30-34,urban,,no,0.17571059431524547,,,,protected well
42,30-34,urban,,,0.16938775510204082,,,,protected well
43,30-34,urban,,,0.171990171990172,,yes,,protected well
44,30-34,urban,,,0.16569767441860464,,,,public tap/standpipe
45,20-24,rural,,no,0.11363636363636363,pit latrine without slab/open pit,no,,
46,20-24,rural,,no,0.14835164835164835,pit latrine without slab/open pit,yes,,
47,20-24,rural,,no,0.13128491620111732,pit latrine without slab/open pit,,,
48,20-24,rural,,,0.14835164835164835,pit latrine without slab/open pit,yes,,
49,20-24,rural,,,0.13128491620111732,pit latrine without slab/open pit,,,
50,20-24,rural,,no,0.1407035175879397,no facility/bush/field,no,,
51,20-24,rural,,no,0.14012738853503184,no facility/bush/field,yes,,
52,20-24,rural,,no,0.1404494382022472,no facility/bush/field,,,
53,20-24,rural,,,0.14012738853503184,no facility/bush/field,yes,,
54,20-24,rural,,,0.13966480446927373,no facility/bush/field,,,
55,20-24,rural,,no,0.1319796954314721,pit latrine with slab,,,
56,20-24,rural,,,0.1319796954314721,pit latrine with slab,,,
57,20-24,rural,,,0.12949640287769784,ventilated improved pit latrine (vip),,,
58,20-24,rural,,no,0.1437246963562753,,no,,
59,20-24,rural,,no,0.13089005235602094,,yes,,
60,20-24,rural,,no,0.13683223992502344,,,,
61,20-24,rural,,,0.1317157712305026,,yes,,
62,20-24,rural,,,0.13687150837988826,,,,
63,20-24,rural,,no,0.15846994535519127,,,,unprotected spring
64,20-24,rural,,,0.15846994535519127,,,,unprotected spring
65,20-24,rural,,no,0.1794871794871795,,,,tube well or borehole
66,20-24,rural,,,0.1794871794871795,,,,tube well or borehole
67,20-24,rural,,no,0.06707317073170732,,,,protected well
68,20-24,rural,,,0.07142857142857142,,,,protected well
69,20-24,rural,,no,0.1396103896103896,,,,river/dam/lake/ponds/stream/canal/irrigation channel
70,20-24,rural,,no,0.1509433962264151,,yes,,river/dam/lake/ponds/stream/canal/irrigation channel
71,20-24,rural,,,0.13870967741935483,,,,river/dam/lake/ponds/stream/canal/irrigation channel
72,20-24,rural,,,0.1509433962264151,,yes,,river/dam/lake/ponds/stream/canal/irrigation channel
73,20-24,rural,4.0,no,0.1638418079096045,,,,
74,20-24,rural,4.0,,0.1638418079096045,,,,
75,20-24,rural,5.0,no,0.0736196319018405,,,,
76,20-24,rural,5.0,,0.07317073170731707,,,,
77,20-24,urban,,no,0.15328467153284672,,no,,
78,20-24,urban,,no,0.16943521594684385,,yes,,
79,20-24,urban,,no,0.1643835616438356,,,,
80,20-24,urban,,yes,0.11267605633802817,,,,
81,20-24,urban,,yes,0.10857142857142857,,yes,,
82,20-24,urban,,,0.14746543778801843,,,,
83,20-24,urban,,no,0.13259668508287292,pit latrine with slab,,,
